MLB,Arizona Diamondbacks,D-Backs,Phoenix,Arizona,Dbacks
MLB,Atlanta Braves,Braves,Atlanta,Georgia,Braves
MLB,Baltimore Orioles,Orioles,Baltimore,Maryland,Orioles
MLB,Boston Red Sox,Red Sox,Boston,Massachusetts,RedSox
MLB,Chicago Cubs,Cubs,Chicago,Illinois,Cubs
MLB,Chicago White Sox,White Sox,Chicago,Illinois,whitesox
MLB,Cincinnati Reds,Reds,Cincinnati,Ohio,Reds
MLB,Cleveland Indians,Indians,Cleveland,Ohio,Indians
MLB,Colorado Rockies,Rockies,Denver,Colorado,Rockies
MLB,Detroit Tigers,Tigers,Detroit,Michigan,tigers
MLB,Houston Astros,Astros,Houston,Texas,astros
MLB,Kansas City Royals,Royals,Kansas City,Missouri,Royals
MLB,Los Angeles Angels,Angels,Los Angeles,California,Angels
MLB,Los Angeles Dodgers,Dodgers,Los Angeles,California,Dodgers
MLB,Miami Marlins,Marlins,Miami,Florida,Marlins
MLB,Milwaukee Brewers,Brewers,Milwaukee,Wisconsin,Brewers
MLB,Minnesota Twins,Twins,Minneapolis,Minnesota,Twins
MLB,New York Mets,Mets,New York,New York,Mets
MLB,New York Yankees,Yankees,New York,New York,Yankees
MLB,Oakland Athletics,Athletics,Oakland,California,Athletics
MLB,Philadelphia Phillies,Phillies,Philadelphia,Pennsylvania,Phillies
MLB,Pittsburgh Pirates,Pirates,Pittsburgh,Pennsylvania,Pirates
MLB,San Diego Padres,Padres,San Diego,California,Padres
MLB,San Francisco Giants,Giants,San Francisco,California,SFGiants
MLB,Seattle Mariners,Mariners,Seattle,Washington,Mariners
MLB,St Louis Cardinals,Cardinals,St. Louis,Missouri,Cardinals
MLB,Tampa Bay Rays,Rays,Tampa Bay,Florida,RaysBaseball
MLB,Texas Rangers,Rangers,Arlington,Texas,Rangers
MLB,Toronto Blue Jays,Blue Jays,Toronto,Ontario,BlueJays
MLB,Washington Nationals,Nationals,Washington,D.C.,Nationals
NBA,Atlanta Hawks,Hawks,Atlanta,Georgia,ATLHawks
NBA,Boston Celtics,Celtics,Boston,Massachusetts,celtics
NBA,Brooklyn Nets,Nets,Brooklyn,New York,BrooklynNets
NBA,Charlotte Bobcats,Bobcats,Charlotte,North Carolina,bobcats
NBA,Chicago Bulls,Bulls,Chicago,Illinois,chicagobulls
